interval,probe1,probe2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Welcome_Text.started,Welcome_Text.stopped,Welcome_Response.keys,Welcome_Response.rt,Welcome_Response.started,Welcome_Response.stopped,Instructions_Text.started,Instructions_Text.stopped,Instructions_Response.keys,Instructions_Response.rt,Instructions_Response.started,Instructions_Response.stopped,Long_Tone1.started,Long_Tone1.stopped,Delay.started,Delay.stopped,ISI.started,ISI.stopped,Long_Tone2.started,Long_Tone2.stopped,Bandpass_Noise1.started,Bandpass_Noise1.stopped,Bandpass_Noise2.started,Bandpass_Noise2.stopped,Interval1.started,Interval1.stopped,Interval2.started,Interval2.stopped,Question_Text.started,Question_Text.stopped,Question_Response.keys,Question_Response.rt,Question_Response.started,Question_Response.stopped,Next_Text.started,Next_Text.stopped,Next_Response.keys,Next_Response.rt,Next_Response.started,Next_Response.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,15.81903193402104,None,space,0.5080778060946614,15.81903193402104,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Mar_31_1234,BETA_001,3.1.2,60.01770375041721,
,,,,,,,,,,,,,16.635012458078563,None,space,0.6455942341126502,16.635012458078563,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Mar_31_1234,BETA_001,3.1.2,60.01770375041721,
1,1,0,0,0,0,4,,,,,,,,,,,,,18.38471999601461,18.584695594152436,17.318231978220865,18.31781250005588,18.634551162132993,19.419237583177164,19.484930814011022,19.684412722010165,18.334888758137822,18.65179357305169,19.43492802209221,None,18.334888758137822,18.617799684172496,19.43492802209221,None,19.96893077623099,None,z,1.9282343320082873,19.96893077623099,None,22.168232563184574,None,space,0.9198614619672298,22.168232563184574,None,,001,2020_Mar_31_1234,BETA_001,3.1.2,60.01770375041721,
2,0,1,0,1,1,3,,,,,,,,,,,,,24.184684104053304,24.384996563196182,23.118353009223938,24.11813755519688,24.434592381119728,25.21810893318616,25.28476112917997,25.501379209104925,24.134805175010115,24.434592381119728,25.2346726951655,25.518199706217274,24.134805175010115,24.417892217170447,25.2346726951655,25.518199706217274,25.80164138507098,None,m,0.3414363160263747,25.80164138507098,None,26.418225270230323,None,space,1.7410062029957771,26.418225270230323,None,,001,2020_Mar_31_1234,BETA_001,3.1.2,60.01770375041721,
2,0,1,0,2,2,1,,,,,,,,,,,,,29.250768292229623,29.45077820518054,28.184357345104218,29.184272688115016,29.500744991004467,30.284146664198488,30.35087774018757,30.55085447221063,29.200875997077674,29.500744991004467,30.30086677405052,30.584109134040773,29.200875997077674,29.48440070520155,30.30086677405052,30.584109134040773,30.86779488204047,None,m,0.3889370320830494,30.86779488204047,None,31.55089574912563,None,space,0.8987820819020271,31.55089574912563,None,,001,2020_Mar_31_1234,BETA_001,3.1.2,60.01770375041721,
1,1,0,0,3,3,0,,,,,,,,,,,,,33.53454574709758,33.73419005307369,32.468022586079314,33.46751505509019,33.784116408089176,34.56781551404856,34.63466320419684,34.83464761101641,33.48478083405644,33.80073948111385,34.58464966202155,34.86809572111815,33.48478083405644,33.76741992519237,34.58464966202155,34.86809572111815,35.13475874415599,None,z,0.6359918969683349,35.13475874415599,None,36.051567626185715,None,space,0.8740039570257068,36.051567626185715,None,,001,2020_Mar_31_1234,BETA_001,3.1.2,60.01770375041721,
1,1,0,0,4,4,2,,,,,,,,,,,,,38.017706317128614,38.21817547921091,36.95115287718363,37.95122869522311,38.26797046116553,39.05127056618221,39.11823676316999,39.31819379120134,37.968022101093084,38.28457374102436,39.06784505303949,39.35219200211577,37.968022101093084,38.25102883717045,39.06784505303949,39.35219200211577,39.618104320019484,None,m,2.8369354270398617,39.618104320019484,None,42.734534365125,None,space,0.6156775408890098,42.734534365125,None,,001,2020_Mar_31_1234,BETA_001,3.1.2,60.01770375041721,
2,0,1,1,0,5,3,,,,,,,,,,,,,44.43454113602638,44.65102606313303,43.36783158220351,44.36769239604473,44.6843942690175,45.46771235507913,45.53440907411277,45.75109538109973,44.38447249121964,44.6843942690175,45.48440317204222,45.76788311311975,44.38447249121964,44.667598218191415,45.48440317204222,45.76788311311975,46.03504612110555,None,m,0.9019620518665761,46.03504612110555,None,47.21798131801188,None,space,0.8570383398327976,47.21798131801188,None,,001,2020_Mar_31_1234,BETA_001,3.1.2,60.01770375041721,
1,1,0,1,1,6,0,,,,,,,,,,,,,49.167585684219375,49.367740258108824,48.101105478126556,49.101032147184014,49.417949703056365,50.20103538711555,50.267735209083185,50.46775234816596,49.117759256158024,49.417949703056365,50.21781354513951,50.50105957710184,49.117759256158024,49.401155189145356,50.21781354513951,50.50105957710184,50.767763855168596,None,z,0.42305301898159087,50.767763855168596,None,51.4680422951933,None,space,0.6237075489480048,51.4680422951933,None,,001,2020_Mar_31_1234,BETA_001,3.1.2,60.01770375041721,
1,1,0,1,2,7,2,,,,,,,,,,,,,53.184430685127154,53.40094289020635,52.11769173108041,53.1176691360306,53.43434582417831,54.217431710101664,54.284538535168394,54.501224792096764,53.13437696616165,53.43434582417831,54.23425109311938,54.51771923410706,53.13437696616165,53.41774283419363,54.23425109311938,54.51771923410706,54.784506120020524,None,z,0.5403018209617585,54.784506120020524,None,55.60084969107993,None,space,0.6538082901388407,55.60084969107993,None,,001,2020_Mar_31_1234,BETA_001,3.1.2,60.01770375041721,
1,1,0,1,3,8,4,,,,,,,,,,,,,57.35086899413727,57.55141086410731,56.28434405219741,57.284112497000024,57.60102153522894,58.38424709113315,58.450955466134474,58.651097470195964,57.300731358118355,57.60102153522894,58.400924291228876,58.684351723175496,57.300731358118355,57.58425185410306,58.400924291228876,58.684351723175496,58.95057427906431,None,z,0.49206158914603293,58.95057427906431,None,59.71776664722711,None,space,1.3858284351881593,59.71776664722711,None,,001,2020_Mar_31_1234,BETA_001,3.1.2,60.01770375041721,
,,,,,,,,,,,,,,,,,,,62.200830350164324,62.40097649721429,61.13447248120792,62.13411747314967,62.45108850020915,63.234322232194245,63.30081064510159,63.501145674148574,62.15103204920888,62.45108850020915,63.25079584820196,63.534273725003004,62.15103204920888,62.43423405219801,63.25079584820196,63.534273725003004,63.80114982300438,None,z,0.24827124807052314,63.80114982300438,None,,,,,,,,,,,,,
