trials.thisTrialN,trials.stepSize,trials.intensity,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,press_space.started,press_space.stopped,title_text.started,title_text.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,sound_1.started,sound_1.stopped,trials.response,key_resp.rt,key_resp.started,key_resp.stopped,question_text.started,question_text.stopped,level_text.started,level_text.stopped,text_6.started,text_6.stopped,last_level_text.started,last_level_text.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,space,0.6214597999969556,9.363191599997663,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
,,,,,,,9.363191599997663,None,9.363191599997663,None,10.002503499999875,None,space,0,0.30367800000021816,10.002503499999875,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
,,,,,,,,,,,,,,,,,,10.336151399998926,None,space,1,0.19938679999904707,10.336151399998926,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
,,,,,,,,,,,,,,,,,,,,,,,,,10.552888599999278,None,space,1,0.37891140000283485,10.552888599999278,None,,,,,,,,,,,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
0,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.35300954999002,None,0,0.8545578000012028,11.354727300000377,None,11.354727300000377,None,11.354727300000377,None,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
1,0.3,0.19952623149688797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.654579619992,None,0,0.6232635999986087,12.650376400000823,None,12.650376400000823,None,12.650376400000823,None,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
2,0.3,0.39810717055349726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.688735949990587,None,1,0.9733808999990288,13.692527600000176,None,13.692527600000176,None,13.692527600000176,None,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
3,0.3,0.19952623149688797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.090452949991231,None,1,0.4235325000008743,15.08626809999987,None,15.08626809999987,None,15.08626809999987,None,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
4,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.94109134999053,None,1,0.5623402000019269,15.935336700000335,None,15.935336700000335,None,15.935336700000335,None,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
5,0.2,0.050118723362727234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.925061149990142,None,0,0.40985469999941415,16.929558899999392,None,16.929558899999392,None,16.929558899999392,None,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
6,0.2,0.07943282347242817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.759480249989792,None,0,0.5101114999997662,17.763992000000144,None,17.763992000000144,None,17.763992000000144,None,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
7,0.2,0.12589254117941676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.69386014999145,None,0,0.13253310000072815,18.698032699998294,None,18.698032699998294,None,18.698032699998294,None,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
8,0.2,0.19952623149688803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.261186149991772,None,0,[],19.26404739999998,None,19.26404739999998,None,19.26404739999998,None,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
9,0.2,0.31622776601683805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.67478154998935,49.675515999999334,0,[],49.675515999999334,49.675515999999334,49.675515999999334,49.675515999999334,49.675515999999334,49.675515999999334,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
10,0.2,0.5011872336272725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.08950374999222,80.08615350000036,1,1.0296180000004824,80.08615350000036,80.08615350000036,80.08615350000036,80.08615350000036,80.08615350000036,80.08615350000036,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
11,0.1,0.31622776601683805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.54007354999158,None,0,1.947360199999821,81.54114309999932,None,81.54114309999932,None,81.54114309999932,None,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
12,0.1,0.3981071705534974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.92567571998953,None,0,0.20352079999793204,83.91963649999889,None,83.91963649999889,None,83.91963649999889,None,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
13,0.1,0.5011872336272726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.54282534999038,None,0,0.7403496000006271,84.54729020000013,None,84.54729020000013,None,84.54729020000013,None,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
14,0.1,0.6309573444801937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.7110035499918,None,0,0.041299000000435626,85.7138023999978,None,85.7138023999978,None,85.7138023999978,None,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
15,0.1,0.7943282347242822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.17810184999144,None,0,2.921172400001524,86.17631789999723,None,86.17631789999723,None,86.17631789999723,None,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
16,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.51457744999243,None,1,0.6378855000002659,89.51166439999724,None,89.51166439999724,None,89.51166439999724,None,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
17,0.1,0.7943282347242815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.56550344999232,None,1,0.45204590000139433,90.56528719999915,None,90.56528719999915,None,90.56528719999915,None,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
18,0.05,0.6309573444801932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.43342674999258,None,0,0.3348906999999599,91.43369080000048,None,91.43369080000048,None,91.43369080000048,None,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
19,0.05,0.7079457843841378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.1836750499915,None,0,0.37027889999808394,92.18568279999818,None,92.18568279999818,None,92.18568279999818,None,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
20,0.05,0.7943282347242813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.98472254999251,None,0,1.3549107999970147,92.98529950000011,None,92.98529950000011,None,92.98529950000011,None,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
21,0.05,0.8912509381337452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.76973684999211,None,0,0.8144578999999794,94.7740589999994,None,94.7740589999994,None,94.7740589999994,None,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
22,0.05,0.9999999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.00457724999251,None,1,0.5516788999993878,96.00339460000032,None,96.00339460000032,None,96.00339460000032,None,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
23,0.05,0.8912509381337452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.97241904999282,None,1,0.5401667000005546,96.97324509999817,None,96.97324509999817,None,96.97324509999817,None,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
24,0.01,0.7943282347242813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.95645141999049,None,0,2.3938808999992034,97.94823170000018,None,97.94823170000018,None,97.94823170000018,None,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
25,0.01,0.812830516164099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.77608461999117,None,0,1.4593557000007422,100.76714659999925,None,100.76714659999925,None,100.76714659999925,None,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
26,0.01,0.8317637711026706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.64470174999042,None,0,2.086804500002472,102.64788960000078,None,102.64788960000078,None,102.64788960000078,None,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
27,0.01,0.8511380382023761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.16382464999151,None,0,2.0001197999990836,105.16357079999943,None,105.16357079999943,None,105.16357079999943,None,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
28,0.01,0.8709635899560803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.59946481999069,None,0,4.355442199997924,107.58841259999826,None,107.58841259999826,None,107.58841259999826,None,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.97095849999823,None,111.97095849999823,None,111.97095849999823,None,e,1,11.063024800001585,111.97095849999823,None,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
